"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 05:11:04 GMT 2021","Sun Aug 22 05:11:09 GMT 2021","4966","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck","TC04-Bejelentkezés/valid",""
"failed","Sun Aug 22 05:16:09 GMT 2021","Sun Aug 22 05:16:12 GMT 2021","3107","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","TC20-Search/több oldalas lista bejárása/full list check",""
"passed","Sun Aug 22 05:11:25 GMT 2021","Sun Aug 22 05:13:26 GMT 2021","120872","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","TC17-Search/adatok listázása/teljes oldalbejárással",""
"passed","Sun Aug 22 05:16:24 GMT 2021","Sun Aug 22 05:16:28 GMT 2021","4438","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","TC07-Kijelentkezés tesztelése",""
"passed","Sun Aug 22 05:11:23 GMT 2021","Sun Aug 22 05:11:24 GMT 2021","1153","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"passed","Sun Aug 22 05:15:10 GMT 2021","Sun Aug 22 05:15:13 GMT 2021","3120","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","TC22-Search/több oldalas lista bejárása/page check",""
"passed","Sun Aug 22 05:11:14 GMT 2021","Sun Aug 22 05:11:15 GMT 2021","1305","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Sun Aug 22 05:11:09 GMT 2021","Sun Aug 22 05:11:11 GMT 2021","1881","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","TC08-Bejelentkezés/invalid",""
"passed","Sun Aug 22 05:11:19 GMT 2021","Sun Aug 22 05:11:21 GMT 2021","1080","","homepage.HomePageTest","","homepage.HomePageTest","SaveToFile2","TC25-Adatok lementése felületről2",""
"passed","Sun Aug 22 05:10:53 GMT 2021","Sun Aug 22 05:11:00 GMT 2021","7134","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck2","TC05-Bejelentkezés/valid",""
"failed","Sun Aug 22 05:15:25 GMT 2021","Sun Aug 22 05:16:09 GMT 2021","43705","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchAllPagesCheck","TC27-Search/több oldalas lista összes oldala bejárása/full list check",""
"passed","Sun Aug 22 05:11:21 GMT 2021","Sun Aug 22 05:11:23 GMT 2021","2598","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","TC24-Search/ismételt és sorozatos adatbevitel adatforrásból",""
"failed","Sun Aug 22 05:15:22 GMT 2021","Sun Aug 22 05:15:25 GMT 2021","3297","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesListCheck","TC21-Search/több oldalas lista bejárása/full list check",""
"passed","Sun Aug 22 05:11:12 GMT 2021","Sun Aug 22 05:11:14 GMT 2021","1658","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Sun Aug 22 05:16:33 GMT 2021","Sun Aug 22 05:16:34 GMT 2021","1152","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","TC15-Privacy Policy/tartalom,Adatkezelési nyilatkozat használata",""
"passed","Sun Aug 22 05:11:02 GMT 2021","Sun Aug 22 05:11:04 GMT 2021","1679","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest","TC10-Bejelentkezés/invalid/special characters",""
"passed","Sun Aug 22 05:15:13 GMT 2021","Sun Aug 22 05:15:16 GMT 2021","2122","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","TC16-Search/adatok listázása/link szöveg ellenőrzéssel",""
"passed","Sun Aug 22 05:13:26 GMT 2021","Sun Aug 22 05:15:10 GMT 2021","104052","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","TC18-Search/adatok listázása/teljes oldalbejárással/találatok száma",""
"passed","Sun Aug 22 05:16:28 GMT 2021","Sun Aug 22 05:16:33 GMT 2021","4837","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","TC06-Kijelentkezés tesztelése",""
"passed","Sun Aug 22 05:16:34 GMT 2021","Sun Aug 22 05:16:35 GMT 2021","1091","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","TC14-Privacy Policy/verzió,Adatkezelési nyilatkozat használata",""
"passed","Sun Aug 22 05:11:18 GMT 2021","Sun Aug 22 05:11:19 GMT 2021","1022","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","TC13-Privacy Policy/link ,Adatkezelési nyilatkozat használata",""
"failed","Sun Aug 22 05:11:11 GMT 2021","Sun Aug 22 05:11:12 GMT 2021","1540","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck2","TC09-Bejelentkezés/invalid",""
"passed","Sun Aug 22 05:11:15 GMT 2021","Sun Aug 22 05:11:18 GMT 2021","3263","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","TC26- új adatok bevitele, meglévő adat módosítása és törlése",""
"passed","Sun Aug 22 05:11:24 GMT 2021","Sun Aug 22 05:11:25 GMT 2021","1059","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","TC12-Privacy Policy/present,Adatkezelési nyilatkozat használata",""
"passed","Sun Aug 22 05:11:00 GMT 2021","Sun Aug 22 05:11:02 GMT 2021","1909","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest2","TC11-Bejelentkezés/invalid/special characters",""
"passed","Sun Aug 22 05:15:19 GMT 2021","Sun Aug 22 05:15:22 GMT 2021","3416","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesContainsCheck","TC23-Search/több oldalas lista bejárása/contains",""
"broken","Sun Aug 22 05:16:12 GMT 2021","Sun Aug 22 05:16:24 GMT 2021","11530","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Sun Aug 22 05:15:16 GMT 2021","Sun Aug 22 05:15:19 GMT 2021","3208","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchFieldShortDataTest","TC19-Search/több oldalas lista bejárása/contains",""
