"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 20 16:20:33 GMT 2021","Fri Aug 20 16:21:17 GMT 2021","44172","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchAllPagesCheck","TC27-Search/több oldalas lista összes oldala bejárása/full list check",""
"passed","Fri Aug 20 16:16:27 GMT 2021","Fri Aug 20 16:16:32 GMT 2021","4653","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck","TC04-Bejelentkezés/valid",""
"passed","Fri Aug 20 16:16:19 GMT 2021","Fri Aug 20 16:16:24 GMT 2021","5020","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck2","TC05-Bejelentkezés/valid",""
"passed","Fri Aug 20 16:16:44 GMT 2021","Fri Aug 20 16:16:46 GMT 2021","2045","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","TC24-Search/ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Fri Aug 20 16:21:41 GMT 2021","Fri Aug 20 16:21:42 GMT 2021","1100","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","TC15-Privacy Policy/tartalom,Adatkezelési nyilatkozat használata",""
"passed","Fri Aug 20 16:16:42 GMT 2021","Fri Aug 20 16:16:43 GMT 2021","1015","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","TC13-Privacy Policy/link ,Adatkezelési nyilatkozat használata",""
"failed","Fri Aug 20 16:21:17 GMT 2021","Fri Aug 20 16:21:20 GMT 2021","3071","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","TC20-Search/több oldalas lista bejárása/full list check",""
"passed","Fri Aug 20 16:16:46 GMT 2021","Fri Aug 20 16:16:47 GMT 2021","1096","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"broken","Fri Aug 20 16:21:20 GMT 2021","Fri Aug 20 16:21:32 GMT 2021","11655","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Fri Aug 20 16:21:36 GMT 2021","Fri Aug 20 16:21:41 GMT 2021","4877","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","TC06-Kijelentkezés tesztelése",""
"failed","Fri Aug 20 16:20:29 GMT 2021","Fri Aug 20 16:20:33 GMT 2021","3173","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesListCheck","TC21-Search/több oldalas lista bejárása/full list check",""
"passed","Fri Aug 20 16:18:29 GMT 2021","Fri Aug 20 16:20:18 GMT 2021","109616","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","TC18-Search/adatok listázása/teljes oldalbejárással/találatok száma",""
"passed","Fri Aug 20 16:16:26 GMT 2021","Fri Aug 20 16:16:27 GMT 2021","1883","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest","TC10-Bejelentkezés/invalid/special characters",""
"passed","Fri Aug 20 16:21:42 GMT 2021","Fri Aug 20 16:21:43 GMT 2021","1066","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","TC14-Privacy Policy/verzió,Adatkezelési nyilatkozat használata",""
"passed","Fri Aug 20 16:16:47 GMT 2021","Fri Aug 20 16:16:48 GMT 2021","1068","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","TC12-Privacy Policy/present,Adatkezelési nyilatkozat használata",""
"passed","Fri Aug 20 16:16:39 GMT 2021","Fri Aug 20 16:16:42 GMT 2021","2940","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","TC26- új adatok bevitele, meglévő adat módosítása és törlése",""
"passed","Fri Aug 20 16:16:37 GMT 2021","Fri Aug 20 16:16:39 GMT 2021","1298","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Fri Aug 20 16:16:43 GMT 2021","Fri Aug 20 16:16:44 GMT 2021","1067","","homepage.HomePageTest","","homepage.HomePageTest","SaveToFile2","TC25-Adatok lementése felületről2",""
"failed","Fri Aug 20 16:16:34 GMT 2021","Fri Aug 20 16:16:36 GMT 2021","1528","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck2","TC09-Bejelentkezés/invalid",""
"passed","Fri Aug 20 16:16:36 GMT 2021","Fri Aug 20 16:16:37 GMT 2021","1647","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Fri Aug 20 16:20:18 GMT 2021","Fri Aug 20 16:20:21 GMT 2021","2661","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","TC22-Search/több oldalas lista bejárása/page check",""
"passed","Fri Aug 20 16:20:21 GMT 2021","Fri Aug 20 16:20:23 GMT 2021","2177","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","TC16-Search/adatok listázása/link szöveg ellenőrzéssel",""
"passed","Fri Aug 20 16:20:26 GMT 2021","Fri Aug 20 16:20:29 GMT 2021","3254","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesContainsCheck","TC23-Search/több oldalas lista bejárása/contains",""
"passed","Fri Aug 20 16:16:32 GMT 2021","Fri Aug 20 16:16:34 GMT 2021","1904","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","TC08-Bejelentkezés/invalid",""
"passed","Fri Aug 20 16:21:32 GMT 2021","Fri Aug 20 16:21:36 GMT 2021","4413","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","TC07-Kijelentkezés tesztelése",""
"passed","Fri Aug 20 16:20:23 GMT 2021","Fri Aug 20 16:20:26 GMT 2021","3069","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchFieldShortDataTest","TC19-Search/több oldalas lista bejárása/contains",""
"passed","Fri Aug 20 16:16:48 GMT 2021","Fri Aug 20 16:18:29 GMT 2021","100840","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","TC17-Search/adatok listázása/teljes oldalbejárással",""
"passed","Fri Aug 20 16:16:24 GMT 2021","Fri Aug 20 16:16:26 GMT 2021","1666","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest2","TC11-Bejelentkezés/invalid/special characters",""
