"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 04:44:03 GMT 2021","Sun Aug 22 04:44:06 GMT 2021","3279","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","TC24-Search/ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Sun Aug 22 04:44:07 GMT 2021","Sun Aug 22 04:44:08 GMT 2021","990","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","TC12-Privacy Policy/present,Adatkezelési nyilatkozat használata",""
"passed","Sun Aug 22 04:44:01 GMT 2021","Sun Aug 22 04:44:02 GMT 2021","971","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","TC13-Privacy Policy/link ,Adatkezelési nyilatkozat használata",""
"passed","Sun Aug 22 04:44:08 GMT 2021","Sun Aug 22 04:46:00 GMT 2021","111683","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","TC17-Search/adatok listázása/teljes oldalbejárással",""
"passed","Sun Aug 22 04:49:00 GMT 2021","Sun Aug 22 04:49:01 GMT 2021","1032","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestSummaryCheck","TC15-Privacy Policy/tartalom,Adatkezelési nyilatkozat használata",""
"passed","Sun Aug 22 04:43:45 GMT 2021","Sun Aug 22 04:43:46 GMT 2021","1624","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest","TC10-Bejelentkezés/invalid/special characters",""
"passed","Sun Aug 22 04:43:46 GMT 2021","Sun Aug 22 04:43:51 GMT 2021","4702","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck","TC04-Bejelentkezés/valid",""
"failed","Sun Aug 22 04:47:53 GMT 2021","Sun Aug 22 04:48:36 GMT 2021","43484","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchAllPagesCheck","TC27-Search/több oldalas lista összes oldala bejárása/full list check",""
"passed","Sun Aug 22 04:43:57 GMT 2021","Sun Aug 22 04:43:58 GMT 2021","1148","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Sun Aug 22 04:46:00 GMT 2021","Sun Aug 22 04:47:39 GMT 2021","98871","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","TC18-Search/adatok listázása/teljes oldalbejárással/találatok száma",""
"failed","Sun Aug 22 04:47:50 GMT 2021","Sun Aug 22 04:47:53 GMT 2021","3068","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesListCheck","TC21-Search/több oldalas lista bejárása/full list check",""
"passed","Sun Aug 22 04:44:02 GMT 2021","Sun Aug 22 04:44:03 GMT 2021","1030","","homepage.HomePageTest","","homepage.HomePageTest","SaveToFile2","TC25-Adatok lementése felületről2",""
"passed","Sun Aug 22 04:47:47 GMT 2021","Sun Aug 22 04:47:50 GMT 2021","3101","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesContainsCheck","TC23-Search/több oldalas lista bejárása/contains",""
"passed","Sun Aug 22 04:43:51 GMT 2021","Sun Aug 22 04:43:53 GMT 2021","1806","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","TC08-Bejelentkezés/invalid",""
"failed","Sun Aug 22 04:48:36 GMT 2021","Sun Aug 22 04:48:39 GMT 2021","2948","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestListCheck2","TC20-Search/több oldalas lista bejárása/full list check",""
"passed","Sun Aug 22 04:47:42 GMT 2021","Sun Aug 22 04:47:44 GMT 2021","2065","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","TC16-Search/adatok listázása/link szöveg ellenőrzéssel",""
"failed","Sun Aug 22 04:43:53 GMT 2021","Sun Aug 22 04:43:54 GMT 2021","1394","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck2","TC09-Bejelentkezés/invalid",""
"passed","Sun Aug 22 04:49:01 GMT 2021","Sun Aug 22 04:49:02 GMT 2021","1013","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","TC14-Privacy Policy/verzió,Adatkezelési nyilatkozat használata",""
"passed","Sun Aug 22 04:43:36 GMT 2021","Sun Aug 22 04:43:43 GMT 2021","6883","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck2","TC05-Bejelentkezés/valid",""
"passed","Sun Aug 22 04:43:58 GMT 2021","Sun Aug 22 04:44:01 GMT 2021","2977","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","TC26- új adatok bevitele, meglévő adat módosítása és törlése",""
"passed","Sun Aug 22 04:48:55 GMT 2021","Sun Aug 22 04:49:00 GMT 2021","4713","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","TC06-Kijelentkezés tesztelése",""
"passed","Sun Aug 22 04:44:06 GMT 2021","Sun Aug 22 04:44:07 GMT 2021","1086","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"passed","Sun Aug 22 04:48:51 GMT 2021","Sun Aug 22 04:48:55 GMT 2021","4305","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","TC07-Kijelentkezés tesztelése",""
"passed","Sun Aug 22 04:43:43 GMT 2021","Sun Aug 22 04:43:45 GMT 2021","1994","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogInTest2","TC11-Bejelentkezés/invalid/special characters",""
"passed","Sun Aug 22 04:43:54 GMT 2021","Sun Aug 22 04:43:57 GMT 2021","2596","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"passed","Sun Aug 22 04:47:44 GMT 2021","Sun Aug 22 04:47:47 GMT 2021","3063","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTestSearchFieldShortDataTest","TC19-Search/több oldalas lista bejárása/contains",""
"passed","Sun Aug 22 04:47:39 GMT 2021","Sun Aug 22 04:47:42 GMT 2021","2658","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesTest2","TC22-Search/több oldalas lista bejárása/page check",""
"broken","Sun Aug 22 04:48:39 GMT 2021","Sun Aug 22 04:48:51 GMT 2021","11614","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
