"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 15:53:03 GMT 2021","Fri Aug 20 15:53:07 GMT 2021","3061","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","TC26- új adatok bevitele, meglévő adat módosítása és törlése",""
"passed","Fri Aug 20 15:53:08 GMT 2021","Fri Aug 20 15:53:09 GMT 2021","1191","","homepage.HomePageTest","","homepage.HomePageTest","SaveToFile2","TC25-Adatok lementése felületről2",""
"passed","Fri Aug 20 15:58:16 GMT 2021","Fri Aug 20 15:58:18 GMT 2021","1161","","privacyPolicy.PrivacyPolicyTest","","privacyPolicy.PrivacyPolicyTest","PrivacyTestVersionCheck","TC14-Privacy Policy/verzió,Adatkezelési nyilatkozat használata",""
"skipped","Fri Aug 20 15:58:05 GMT 2021","Fri Aug 20 15:58:05 GMT 2021","0","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","TC25-Adatok lementése felületről",""
"passed","Fri Aug 20 15:53:14 GMT 2021","Fri Aug 20 15:54:59 GMT 2021","105364","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","TC17-Search/adatok listázása/teljes oldalbejárással",""
"passed","Fri Aug 20 15:53:02 GMT 2021","Fri Aug 20 15:53:03 GMT 2021","1411","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"broken","Fri Aug 20 15:57:54 GMT 2021","Fri Aug 20 15:58:05 GMT 2021","11700","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"passed","Fri Aug 20 15:53:09 GMT 2021","Fri Aug 20 15:53:11 GMT 2021","2310","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","TC24-Search/ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Fri Aug 20 15:52:57 GMT 2021","Fri Aug 20 15:52:59 GMT 2021","2016","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","TC08-Bejelentkezés/invalid",""
"passed","Fri Aug 20 15:56:54 GMT 2021","Fri Aug 20 15:56:57 GMT 2021","2289","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchOnePageResultCheck","TC16-Search/adatok listázása/link szöveg ellenőrzéssel",""
