"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 09:41:09 GMT 2021","Tue Aug 24 09:41:12 GMT 2021","3243","","homepage.HomePageTest","","homepage.HomePageTest","SearchInputClearModifyData","TC26- új adatok bevitele, meglévő adat módosítása és törlése",""
"passed","Tue Aug 24 09:41:00 GMT 2021","Tue Aug 24 09:41:02 GMT 2021","1937","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","TC08-Bejelentkezés/invalid",""
"passed","Tue Aug 24 09:41:14 GMT 2021","Tue Aug 24 09:41:16 GMT 2021","2249","","homepage.HomePageTest","","homepage.HomePageTest","SearchRepeatedDataCheckedWithAllData","TC24-Search/ismételt és sorozatos adatbevitel adatforrásból",""
"failed","Tue Aug 24 09:45:16 GMT 2021","Tue Aug 24 09:46:00 GMT 2021","43656","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchAllPagesCheck","TC27-Search/több oldalas lista összes oldala bejárása/full list check",""
"passed","Tue Aug 24 09:40:46 GMT 2021","Tue Aug 24 09:40:52 GMT 2021","5870","","loginpage.LoginPageTest","","loginpage.LoginPageTest","validLoginCheck2","TC05-Bejelentkezés/valid",""
"passed","Tue Aug 24 09:46:15 GMT 2021","Tue Aug 24 09:46:19 GMT 2021","4715","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest2","TC07-Kijelentkezés tesztelése",""
"broken","Tue Aug 24 09:46:03 GMT 2021","Tue Aug 24 09:46:15 GMT 2021","11708","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"failed","Tue Aug 24 09:41:02 GMT 2021","Tue Aug 24 09:41:06 GMT 2021","3604","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck2","TC09-Bejelentkezés/invalid",""
"passed","Tue Aug 24 09:43:04 GMT 2021","Tue Aug 24 09:45:01 GMT 2021","117001","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataListNumber","TC18-Search/adatok listázása/teljes oldalbejárással/találatok száma",""
"passed","Tue Aug 24 09:41:19 GMT 2021","Tue Aug 24 09:43:04 GMT 2021","105112","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","TC17-Search/adatok listázása/teljes oldalbejárással",""
